cs,species,extant,community,class
8,boana_rufitela,1,Assemblage,Amphibians
8,pristimantis_gaigei,1,Assemblage,Amphibians
8,isthmohyla_zeteki,1,Assemblage,Amphibians
8,rhaebo_haematiticus,1,Assemblage,Amphibians
8,hyalinobatrachium_tatayoi,1,Assemblage,Amphibians
8,bolitoglossa_schizodactyla,1,Assemblage,Amphibians
8,incilius_coniferus,1,Assemblage,Amphibians
8,smilisca_sila,1,Assemblage,Amphibians
8,bolitoglossa_robusta,1,Assemblage,Amphibians
8,allobates_talamancae,1,Assemblage,Amphibians
8,phyllobates_lugubris,1,Assemblage,Amphibians
8,dendrobates_auratus,1,Assemblage,Amphibians
8,gastrotheca_cornuta,1,Assemblage,Amphibians
8,craugastor_monnichorum,1,Assemblage,Amphibians
8,craugastor_obesus,1,Assemblage,Amphibians
8,diasporus_diastema,1,Assemblage,Amphibians
8,oophaga_pumilio,1,Assemblage,Amphibians
8,isthmohyla_picadoi,1,Assemblage,Amphibians
8,pristimantis_pardalis,1,Assemblage,Amphibians
8,ecnomiohyla_miliaria,1,Assemblage,Amphibians
8,lithobates_pipiens,1,Assemblage,Amphibians
8,cochranella_euknemos,1,Assemblage,Amphibians
8,ctenophryne_aterrima,1,Assemblage,Amphibians
8,hyloscirtus_colymba,1,Assemblage,Amphibians
8,dendropsophus_phlebodes,1,Assemblage,Amphibians
8,sachatamia_albomaculata,1,Assemblage,Amphibians
8,oedipina_cyclocauda,1,Assemblage,Amphibians
8,bolitoglossa_colonnea,1,Assemblage,Amphibians
8,craugastor_megacephalus,1,Assemblage,Amphibians
8,scinax_elaeochroa,1,Assemblage,Amphibians
8,craugastor_crassidigitus,1,Assemblage,Amphibians
8,caecilia_volcani,1,Assemblage,Amphibians
8,pristimantis_caryophyllaceus,1,Assemblage,Amphibians
8,cochranella_granulosa,1,Assemblage,Amphibians
8,cruziohyla_calcarifer,1,Assemblage,Amphibians
8,craugastor_gulosus,1,Assemblage,Amphibians
8,agalychnis_spurrelli,1,Assemblage,Amphibians
8,leptodactylus_insularum,1,Assemblage,Amphibians
8,triprion_spinosus,1,Assemblage,Amphibians
8,craugastor_fitzingeri,1,Assemblage,Amphibians
8,craugastor_blairi,1,Assemblage,Amphibians
8,hyalinobatrachium_valerioi,1,Assemblage,Amphibians
8,pristimantis_museosus,1,Assemblage,Amphibians
8,sachatamia_ilex,1,Assemblage,Amphibians
8,oedipina_gracilis,1,Assemblage,Amphibians
