"","Longitude(x)","Latitude(y)","cropland_2arcmin_mean","built_mean","wc2.1_2.5m_elev_mean","Tree_loss_mean","trees_mean","wildareas-v3-2009-human-footprint_mean","maximum_temperature_mean_mean","Built_mean","Cropland_mean","Forestlandcover_mean","layer_mean","extinct_species_group","binomial_name","Presence","habitat_breadth","diet_breadth","body_mass_g","body_size_mm","trophic_level","global_range_size_km2","extinct"
"61",-109.059563873,24.9786470350001,0.0247656144201756,0.000528454489540309,5.27771425247192,0.000216347048990428,0.002551682991907,0.40856060385704,-9367.3115234375,0.000173178326804191,0.0141282835975289,0,1,"Craugastor omoaensis","Smilisca_baudinii",1,"generalist","",NA,90,"",NA,0
"62",-108.059563873,24.9786470350001,0.263614982366562,0.00868166331201792,72.5737838745117,0.00406483607366681,0.12325943261385,6.13889646530151,-3295.783203125,0.000107062885945197,0.403078228235245,0.0142212305217981,1,"Craugastor omoaensis","Leptodactylus_melanonotus",1,"generalist","",NA,58,"",NA,0
"63",-108.059563873,24.9786470350001,0.263614982366562,0.00868166331201792,72.5737838745117,0.00406483607366681,0.12325943261385,6.13889646530151,-3295.783203125,0.000107062885945197,0.403078228235245,0.0142212305217981,1,"Craugastor omoaensis","Rhinella_horribilis",1,"generalist","specialist",106.25,241,"",NA,0
"64",-108.059563873,24.9786470350001,0.263614982366562,0.00868166331201792,72.5737838745117,0.00406483607366681,0.12325943261385,6.13889646530151,-3295.783203125,0.000107062885945197,0.403078228235245,0.0142212305217981,1,"Craugastor omoaensis","Smilisca_baudinii",1,"generalist","",NA,90,"",NA,0
"65",-107.059563873,24.9786470350001,0.0933365076780319,0.0125486776232719,634.249145507812,0.016808707267046,0.73089599609375,5.66360521316528,-26.0056591033936,0.0100243166089058,0.13262103497982,0.255268901586533,1,"Craugastor omoaensis","Hypopachus_variolosus",1,"generalist","specialist",NA,53,"carnivore",NA,0
"66",-107.059563873,24.9786470350001,0.0933365076780319,0.0125486776232719,634.249145507812,0.016808707267046,0.73089599609375,5.66360521316528,-26.0056591033936,0.0100243166089058,0.13262103497982,0.255268901586533,1,"Craugastor omoaensis","Leptodactylus_melanonotus",1,"generalist","",NA,58,"",NA,0
"67",-107.059563873,24.9786470350001,0.0933365076780319,0.0125486776232719,634.249145507812,0.016808707267046,0.73089599609375,5.66360521316528,-26.0056591033936,0.0100243166089058,0.13262103497982,0.255268901586533,1,"Craugastor omoaensis","Rhinella_horribilis",1,"generalist","specialist",106.25,241,"",NA,0
"68",-107.059563873,24.9786470350001,0.0933365076780319,0.0125486776232719,634.249145507812,0.016808707267046,0.73089599609375,5.66360521316528,-26.0056591033936,0.0100243166089058,0.13262103497982,0.255268901586533,1,"Craugastor omoaensis","Smilisca_baudinii",1,"generalist","",NA,90,"",NA,0
"69",-106.059563873,24.9786470350001,0.00472204340621829,0.00134982902090997,2060.71069335938,0.00624081771820784,0.731848120689392,2.86535549163818,25.8817653656006,0.000182642164872959,0.0022830271627754,0.0246919803321362,1,"Craugastor omoaensis","Rhinella_horribilis",1,"generalist","specialist",106.25,241,"",NA,0
"70",-106.059563873,24.9786470350001,0.00472204340621829,0.00134982902090997,2060.71069335938,0.00624081771820784,0.731848120689392,2.86535549163818,25.8817653656006,0.000182642164872959,0.0022830271627754,0.0246919803321362,1,"Craugastor omoaensis","Smilisca_baudinii",1,"generalist","",NA,90,"",NA,0
"71",-101.059563873,24.9786470350001,0.0611080303788185,0.0123184956610203,1981.03454589844,0.0040010642260313,0.0663373097777367,6.91511106491089,25.5770244598389,0.0101263308897614,0.00501184305176139,0,1,"Craugastor omoaensis","Rhinella_horribilis",1,"generalist","specialist",106.25,241,"",NA,0
"72",-101.059563873,24.9786470350001,0.0611080303788185,0.0123184956610203,1981.03454589844,0.0040010642260313,0.0663373097777367,6.91511106491089,25.5770244598389,0.0101263308897614,0.00501184305176139,0,1,"Craugastor omoaensis","Smilisca_baudinii",1,"generalist","",NA,90,"",NA,0
"73",-100.059563873,24.9786470350001,0.0292119700461626,0.00904574245214462,1404.74377441406,0.045601598918438,0.380717188119888,5.71286249160767,27.3120441436768,0.00108506297692657,0.0140087231993675,0.0642026960849762,1,"Craugastor omoaensis","Hypopachus_variolosus",1,"generalist","specialist",NA,53,"carnivore",NA,0
"74",-100.059563873,24.9786470350001,0.0292119700461626,0.00904574245214462,1404.74377441406,0.045601598918438,0.380717188119888,5.71286249160767,27.3120441436768,0.00108506297692657,0.0140087231993675,0.0642026960849762,1,"Craugastor omoaensis","Rhinella_horribilis",1,"generalist","specialist",106.25,241,"",NA,0
"75",-100.059563873,24.9786470350001,0.0292119700461626,0.00904574245214462,1404.74377441406,0.045601598918438,0.380717188119888,5.71286249160767,27.3120441436768,0.00108506297692657,0.0140087231993675,0.0642026960849762,1,"Craugastor omoaensis","Smilisca_baudinii",1,"generalist","",NA,90,"",NA,0
"76",-99.0595638729999,24.9786470350001,0.0509739518165588,0.00185957923531532,317.811218261719,0.0412298999726772,0.210931435227394,5.40171480178833,30.5691814422607,8.5681960626971e-05,0.00275528151541948,0.0345780663192272,1,"Craugastor omoaensis","Hypopachus_variolosus",1,"generalist","specialist",NA,53,"carnivore",NA,0
"77",-99.0595638729999,24.9786470350001,0.0509739518165588,0.00185957923531532,317.811218261719,0.0412298999726772,0.210931435227394,5.40171480178833,30.5691814422607,8.5681960626971e-05,0.00275528151541948,0.0345780663192272,1,"Craugastor omoaensis","Leptodactylus_fragilis",1,"generalist","",NA,43,"",NA,0
"78",-99.0595638729999,24.9786470350001,0.0509739518165588,0.00185957923531532,317.811218261719,0.0412298999726772,0.210931435227394,5.40171480178833,30.5691814422607,8.5681960626971e-05,0.00275528151541948,0.0345780663192272,1,"Craugastor omoaensis","Rhinella_horribilis",1,"generalist","specialist",106.25,241,"",NA,0
"79",-99.0595638729999,24.9786470350001,0.0509739518165588,0.00185957923531532,317.811218261719,0.0412298999726772,0.210931435227394,5.40171480178833,30.5691814422607,8.5681960626971e-05,0.00275528151541948,0.0345780663192272,1,"Craugastor omoaensis","Smilisca_baudinii",1,"generalist","",NA,90,"",NA,0
"80",-98.0595638729999,24.9786470350001,0.251475244760513,0.00391669059172273,66.6946411132812,0.0302043668925762,0.0868541449308395,5.07443046569824,-926.5302734375,0.000624704349320382,0.0245615039020777,0.000608807196840644,1,"Craugastor omoaensis","Hypopachus_variolosus",1,"generalist","specialist",NA,53,"carnivore",NA,0
"81",-98.0595638729999,24.9786470350001,0.251475244760513,0.00391669059172273,66.6946411132812,0.0302043668925762,0.0868541449308395,5.07443046569824,-926.5302734375,0.000624704349320382,0.0245615039020777,0.000608807196840644,1,"Craugastor omoaensis","Leptodactylus_fragilis",1,"generalist","",NA,43,"",NA,0
